vondstnummer;project_code;subcategorie;object;begin_dat;eind_dat;vlak_max;munt_lengte_diameter_in_mm;vondstnummer,project_code,subcategorie,object,begin_dat,eind_dat,vlak_max,munt_lengte_diameter_in_mm
NZD1.00505MTL046;NZD1;metaal: zilver;munt;1482.0;1506.0;-11.4;29.0;NZD1.00505MTL046,NZD1,metaal: zilver,munt,1482.0,1506.0,-11.4,29.0
NZD1.00505MTL047;NZD1;metaal: zilver;munt;1614.0;1670.0;-11.4;23.0;NZD1.00505MTL047,NZD1,metaal: zilver,munt,1614.0,1670.0,-11.4,23.0
NZD1.00505MTL048;NZD1;metaal: koper;munt;1666.0;1666.0;-11.4;15.0;NZD1.00505MTL048,NZD1,metaal: koper,munt,1666.0,1666.0,-11.4,15.0
NZD1.00505MTL049;NZD1;metaal: zilver;munt;1681.0;1681.0;-11.4;30.0;NZD1.00505MTL049,NZD1,metaal: zilver,munt,1681.0,1681.0,-11.4,30.0
NZD1.00505MTL050;NZD1;metaal: koper;munt;1702.0;1780.0;-11.4;24.5;NZD1.00505MTL050,NZD1,metaal: koper,munt,1702.0,1780.0,-11.4,24.5
NZD1.00505MTL051;NZD1;metaal: koper;munt;1702.0;1780.0;-11.4;22.0;NZD1.00505MTL051,NZD1,metaal: koper,munt,1702.0,1780.0,-11.4,22.0
NZD1.00505MTL060;NZD1;metaal: nikkel;munt;1978.0;1978.0;-11.4;25.0;NZD1.00505MTL060,NZD1,metaal: nikkel,munt,1978.0,1978.0,-11.4,25.0
NZD1.00505MTL061;NZD1;metaal: brons;munt;1970.0;1970.0;-11.4;21.0;NZD1.00505MTL061,NZD1,metaal: brons,munt,1970.0,1970.0,-11.4,21.0
NZD1.00505MTL062;NZD1;metaal: brons;munt;1948.0;1948.0;-11.4;21.0;NZD1.00505MTL062,NZD1,metaal: brons,munt,1948.0,1948.0,-11.4,21.0
NZD1.00505MTL063;NZD1;metaal: brons;munt;1963.0;1963.0;-11.4;17.0;NZD1.00505MTL063,NZD1,metaal: brons,munt,1963.0,1963.0,-11.4,17.0
NZD1.00505MTL064;NZD1;metaal: brons;munt;1969.0;1969.0;-11.4;17.0;NZD1.00505MTL064,NZD1,metaal: brons,munt,1969.0,1969.0,-11.4,17.0
NZD1.00505MTL065;NZD1;metaal: brons;munt;1954.0;1954.0;-11.4;17.0;NZD1.00505MTL065,NZD1,metaal: brons,munt,1954.0,1954.0,-11.4,17.0
NZD1.00505MTL066;NZD1;metaal: nikkel;munt;1980.0;1980.0;-11.4;15.0;NZD1.00505MTL066,NZD1,metaal: nikkel,munt,1980.0,1980.0,-11.4,15.0
NZD1.00505MTL067;NZD1;metaal: nikkel;munt;1948.0;1948.0;-11.4;15.0;NZD1.00505MTL067,NZD1,metaal: nikkel,munt,1948.0,1948.0,-11.4,15.0
